lang,id,age,onset,offset,length,is_child,is_not_child,res
tsimane,c15,16,19400.42,19401.02,0.6000000000021828,2.0,1.0,31
english,23,15,3171.29,3173.04,1.75,1.0,2.0,29
tsimane,c22,15,45633.22,45633.83,0.6100000000005821,3.0,0.0,33
tsimane,C25,08,23792.18,23793.22,1.0400000000008731,3.0,0.0,33
english,04,08,13760.59,13761.2,0.6100000000005821,2.0,1.0,31
english,23,15,35737.5,35738.21,0.7099999999991269,1.0,2.0,29
english,04,08,17321.85,17325.26,3.4099999999998545,3.0,0.0,33
tsimane,c15,16,24733.67,24734.83,1.1600000000034925,3.0,0.0,33
tsimane,C25,08,56896.82,56897.8,0.9800000000032014,3.0,0.0,33
tsimane,c22,15,32899.21,32899.91,0.7000000000043656,1.0,2.0,29
english,23,15,25483.09,25485.23,2.139999999999418,3.0,0.0,33
english,23,15,38620.85,38621.45,0.5999999999985448,3.0,0.0,33
english,04,08,8467.96,8468.56,0.6000000000003638,1.0,2.0,29
tsimane,C25,08,31205.58,31206.18,0.5999999999985448,0.0,3.0,27
english,15,16,44339.52,44340.12,0.6000000000058208,1.0,2.0,29
english,15,16,2118.04,2118.65,0.6100000000001273,1.0,2.0,29
english,15,16,35386.25,35387.19,0.9400000000023283,0.0,3.0,27
tsimane,c15,16,26153.09,26154.47,1.3800000000010186,2.0,1.0,31
tsimane,c22,15,49000.39,49001.44,1.0500000000029104,0.0,3.0,27
tsimane,c22,15,56458.94,56459.64,0.6999999999970896,1.0,2.0,29
english,15,16,44026.23,44026.83,0.5999999999985448,3.0,0.0,33
english,15,16,9645.24,9646.24,1.0,3.0,0.0,33
tsimane,c22,15,501.08,501.68,0.6000000000000227,3.0,0.0,33
tsimane,c22,15,46979.49,46980.09,0.5999999999985448,1.0,2.0,29
english,23,15,1099.21,1100.05,0.8399999999999181,3.0,0.0,33
tsimane,C25,08,19154.25,19155.68,1.430000000000291,3.0,0.0,33
tsimane,C25,08,4598.83,4600.35,1.5200000000004366,2.0,1.0,31
english,04,08,39990.69,39991.4,0.7099999999991269,1.0,2.0,29
english,23,15,15247.06,15251.32,4.260000000000218,3.0,0.0,33
english,04,08,1687.3,1688.03,0.7300000000000182,1.0,2.0,29
english,15,16,9850.85,9851.85,1.0,2.0,1.0,31
english,04,08,9417.59,9418.19,0.6000000000003638,3.0,0.0,33
english,04,08,2497.14,2498.84,1.7000000000002728,3.0,0.0,33
english,15,16,42868.51,42869.25,0.7399999999979627,3.0,0.0,33
tsimane,c22,15,57343.97,57345.4,1.430000000000291,0.0,3.0,27
tsimane,C25,08,566.55,567.2,0.650000000000091,3.0,0.0,33
tsimane,C25,08,15622.72,15625.54,2.820000000001528,3.0,0.0,33
tsimane,C25,08,3625.53,3627.28,1.75,3.0,0.0,33
english,23,15,2625.69,2627.93,2.2399999999997817,2.0,1.0,31
english,23,15,26597.4,26598.01,0.6099999999969441,2.0,1.0,31
tsimane,c15,16,11897.3,11898.98,1.680000000000291,3.0,0.0,33
english,04,08,29267.76,29270.4,2.640000000003056,0.0,3.0,27
english,04,08,16695.77,16697.04,1.2700000000004366,1.0,2.0,29
english,23,15,47534.84,47535.67,0.8300000000017462,2.0,1.0,31
english,15,16,46898.8,46899.63,0.8299999999944703,2.0,1.0,31
tsimane,c15,16,20088.41,20089.17,0.7599999999983993,3.0,0.0,33
english,04,08,25067.19,25067.99,0.8000000000029104,0.0,3.0,27
tsimane,c22,15,53227.42,53228.97,1.5500000000029104,2.0,1.0,31
tsimane,c22,15,51465.41,51466.21,0.7999999999956344,2.0,1.0,31
tsimane,C25,08,44799.39,44802.37,2.9800000000032014,3.0,0.0,33
english,23,15,18524.18,18526.83,2.650000000001455,3.0,0.0,33
tsimane,c15,16,36567.25,36567.95,0.6999999999970896,2.0,1.0,31
english,15,16,29970.83,29971.55,0.7199999999975262,2.0,1.0,31
tsimane,C25,08,29804.07,29806.84,2.7700000000004366,0.0,3.0,27
tsimane,c15,16,3183.47,3184.28,0.8100000000004002,3.0,0.0,33
tsimane,c22,15,51623.02,51623.9,0.8800000000046566,3.0,0.0,33
tsimane,C25,08,20423.04,20423.65,0.6100000000005821,3.0,0.0,33
english,04,08,17944.18,17945.4,1.2200000000011642,3.0,0.0,33
english,23,15,39437.35,39440.04,2.6900000000023283,1.0,2.0,29
english,23,15,39442.96,39444.08,1.1200000000026193,0.0,3.0,27
tsimane,c22,15,53000.15,53000.75,0.5999999999985448,2.0,1.0,31
